id,fecha_publicacion,ciudad,zona,tipo,area,dormitorios,banos,precio_millones,precio_m2,segmento,precio_estimado,diferencia_pct,estado_precio,dias_publicado,esta_activo
78s03WHthgpsOhF5n71E7Q==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,88.0,2.0,3.0,650.0,7386363.636363637,Compactos en zona cara,590.3772743838783,10.099088871322891,Cerca del valor estimado,19.0,False
N7VEy/aTuMsgtq6bgPvuoQ==,2021-04-07,Cali,Lili,Apartamento,84.0,3.0,2.0,242.0,2880952.380952381,Económicos estándar,270.8205140319102,-10.641924277757752,Cerca del valor estimado,70.0,False
jcqTLp/BqUmGEMya8G8L0g==,2021-04-07,Cali,Sin dato,Apartamento,136.0,3.0,2.0,300.0,2205882.3529411764,Económicos estándar,371.89801325247254,-19.33272313656129,Por debajo del valor estimado,,True
W58fDKpbIeawOTFbQanMog==,2021-04-07,Bello,Sin dato,Apartamento,67.0,3.0,2.0,231.5,3455223.880597015,Económicos estándar,224.3879247426051,3.1695445579583446,Cerca del valor estimado,,True
iOHa9wUIBjHFXY7394cIhg==,2021-04-07,Funza,Sin dato,Apartamento,65.0,3.0,2.0,170.0,2615384.6153846155,Económicos estándar,193.3770170513817,-12.08882906967701,Cerca del valor estimado,27.0,False
SilMhPTTAk2gt9YGEoVcbA==,2021-04-07,Envigado,Sin dato,Apartamento,60.0,3.0,2.0,235.0,3916666.6666666665,Económicos estándar,248.2844174771595,-5.350483776687913,Cerca del valor estimado,,True
TBKrb6nS74GwtXBK0/8LLQ==,2021-04-07,Sabaneta,Sin dato,Apartamento,67.0,3.0,2.0,340.0,5074626.865671642,Económicos estándar,270.1591320041671,25.85175169823823,Por encima del valor estimado,,True
NZllkDADXXq3xOu4MV2hug==,2021-04-07,Medellín,Belén,Apartamento,68.0,3.0,2.0,280.0,4117647.0588235296,Económicos estándar,274.7876261185751,1.8968735801719487,Cerca del valor estimado,,True
SICHJBQIAjgcKCY46u8pOg==,2021-04-07,Zipaquirá,Sin dato,Apartamento,81.0,3.0,2.0,210.0,2592592.592592593,Económicos estándar,255.65581648549738,-17.858313224838092,Por debajo del valor estimado,,True
K5M58hPD7C+5Saj7V1zswg==,2021-04-07,Bogotá D.C,Zona Noroccidental,Apartamento,66.0,3.0,2.0,280.0,4242424.242424242,Económicos estándar,260.48658990688693,7.491138065912835,Cerca del valor estimado,63.0,False
KTKTPbLqLkq5SWV+UGZHKg==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,84.0,3.0,2.0,455.0,5416666.666666667,Económicos estándar,378.4697650639661,20.220963997771214,Por encima del valor estimado,19.0,False
VbhObQUy94xaa6d3G4y53Q==,2021-04-07,La Estrella,Sin dato,Apartamento,65.0,3.0,2.0,260.0,4000000.0,Económicos estándar,193.3770170513817,34.452379069905746,Por encima del valor estimado,,True
hNieUAf0ey+Zl/pXxKJeOQ==,2021-04-07,Barranquilla,Sin dato,Apartamento,77.0,3.0,2.0,160.0,2077922.0779220778,Económicos estándar,230.7771938878408,-30.669059058859595,Por debajo del valor estimado,,True
w0FFcgcjKBbH945yHvplHw==,2021-04-07,Cali,Sin dato,Casa,81.0,3.0,3.0,240.0,2962962.962962963,Económicos estándar,241.2893521167478,-0.5343593098645955,Cerca del valor estimado,35.0,False
ghwBxL2+dzpQXs8OlFhmqw==,2021-04-07,Barranquilla,Sin dato,Casa,103.0,3.0,3.0,160.0,1553398.0582524273,Económicos estándar,308.4419659417914,-48.12638432274974,Por debajo del valor estimado,,True
siYC9a7O97PgnF5tq20OHA==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,287.0,3.0,3.0,900.0,3135888.5017421604,Amplios de precio alto,1876.1855217197403,-52.030330178912884,Por debajo del valor estimado,19.0,False
f9HX8rUa8bnkAO7Rt0ctCA==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,110.0,3.0,3.0,500.0,4545454.545454546,Amplios de precio alto,590.8384387569977,-15.374497121091688,Por debajo del valor estimado,,True
zeD7tA01j6XhuLhfcpe+aA==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,86.0,3.0,3.0,565.0,6569767.441860465,Amplios de precio alto,430.07962439989285,31.371022467843463,Por encima del valor estimado,27.0,False
ufe6NpYiD63XWUURh9sFiw==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,143.0,3.0,3.0,730.0,5104895.104895105,Amplios de precio alto,883.1772921587194,-17.34388933215363,Por debajo del valor estimado,19.0,False
Gh7fTXLTXDAMIRLHriyF2A==,2021-04-07,Cali,Sin dato,Casa,700.0,3.0,4.0,1600.0,2285714.285714286,Grandes propiedades,1498.112849987896,6.801033047205171,Cerca del valor estimado,,True
kNb/wTFS8At1W+3venIHtA==,2021-04-07,Bogotá D.C,Zona Norte,Apartamento,132.0,3.0,4.0,1150.0,8712121.212121213,Amplios de precio alto,830.658412006458,38.44439343269533,Por encima del valor estimado,19.0,False
4EKKCamoM2f51PzZJE73Qg==,2021-04-07,Cali,Sin dato,Casa,120.0,4.0,2.0,155.0,1291666.6666666667,Económicos estándar,245.78425192419743,-36.936561725767646,Por debajo del valor estimado,,True
